County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,Good_to_Moderate_Ratio,Unhealthy_Days_Percentage
Durham,2020,364.0,334.0,30.0,0.0,0.0,0.0,0.0,97.0,49.0,35.0,0.0,0.0,170.0,193.0,1.0,11.133333333333333,0.0
Edgecombe,2020,336.0,319.0,17.0,0.0,0.0,0.0,0.0,94.0,46.0,32.0,0.0,0.0,182.0,154.0,0.0,18.764705882352942,0.0
Forsyth,2020,366.0,298.0,68.0,0.0,0.0,0.0,0.0,97.0,56.0,40.0,0.0,7.0,180.0,179.0,0.0,4.382352941176471,0.0
Graham,2020,238.0,223.0,15.0,0.0,0.0,0.0,0.0,97.0,49.0,40.0,0.0,0.0,238.0,0.0,0.0,14.866666666666667,0.0
Granville,2020,238.0,237.0,1.0,0.0,0.0,0.0,0.0,51.0,46.0,36.0,0.0,0.0,238.0,0.0,0.0,237.0,0.0
Guilford,2020,365.0,335.0,30.0,0.0,0.0,0.0,0.0,87.0,50.0,36.0,0.0,0.0,198.0,160.0,7.0,11.166666666666666,0.0
Haywood,2020,272.0,244.0,28.0,0.0,0.0,0.0,0.0,93.0,51.0,41.0,0.0,0.0,244.0,28.0,0.0,8.714285714285714,0.0
Hyde,2020,114.0,112.0,2.0,0.0,0.0,0.0,0.0,53.0,28.0,15.0,0.0,0.0,0.0,114.0,0.0,56.0,0.0
Jackson,2020,111.0,107.0,4.0,0.0,0.0,0.0,0.0,68.0,40.0,24.0,0.0,0.0,0.0,111.0,0.0,26.75,0.0
Johnston,2020,339.0,318.0,21.0,0.0,0.0,0.0,0.0,72.0,49.0,36.0,0.0,0.0,185.0,154.0,0.0,15.142857142857142,0.0
Lenoir,2020,296.0,290.0,6.0,0.0,0.0,0.0,0.0,58.0,45.0,32.0,0.0,0.0,238.0,0.0,58.0,48.333333333333336,0.0
