County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10
Duplin,2014,303,210,93,0,0,0,0,82,58,41,0,0,0,302,1
Durham,2014,365,302,63,0,0,0,0,90,54,40,0,0,154,211,0
Edgecombe,2014,294,254,40,0,0,0,0,84,53,36,0,0,111,183,0
Forsyth,2014,365,237,128,0,0,0,0,100,68,47,0,12,156,197,0
Franklin,2014,212,190,22,0,0,0,0,84,51,40,0,0,212,0,0
Gaston,2014,351,303,48,0,0,0,0,73,52,33,0,0,0,351,0
Graham,2014,213,173,39,1,0,0,0,101,58,41,0,0,213,0,0
Granville,2014,214,169,45,0,0,0,0,100,61,43,0,0,214,0,0
Guilford,2014,353,254,99,0,0,0,0,100,64,44,0,0,169,184,0
Haywood,2014,269,195,73,1,0,0,0,105,64,44,0,0,205,64,0
Hyde,2014,107,104,3,0,0,0,0,56,40,23,0,0,0,107,0
Jackson,2014,264,205,58,1,0,0,0,119,67,44,0,0,205,59,0
Johnston,2014,263,231,32,0,0,0,0,84,52,40,0,0,196,67,0
Lee,2014,365,262,102,1,0,0,0,108,61,44,0,1,210,154,0
Lenoir,2014,214,177,37,0,0,0,0,93,61,40,0,0,214,0,0
Lincoln,2014,212,181,29,2,0,0,0,108,61,42,0,0,212,0,0
Macon,2014,355,333,22,0,0,0,0,84,47,32,0,0,355,0,0
Martin,2014,359,262,97,0,0,0,0,97,58,43,0,0,177,182,0
McDowell,2014,349,304,44,1,0,0,0,106,52,33,0,0,0,348,1
Mecklenburg,2014,365,241,122,2,0,0,0,105,66,45,0,10,193,162,0
Mitchell,2014,120,108,12,0,0,0,0,65,51,31,0,0,0,120,0
Montgomery,2014,365,267,98,0,0,0,0,84,59,43,0,0,199,166,0
New Hanover,2014,345,283,62,0,0,0,0,93,58,39,0,0,185,160,0
Person,2014,214,190,24,0,0,0,0,93,51,39,0,0,214,0,0
Pitt,2014,256,221,35,0,0,0,0,93,54,39,0,0,195,61,0
Robeson,2014,120,101,19,0,0,0,0,61,54,35,0,0,0,120,0
Rockingham,2014,214,168,45,1,0,0,0,101,61,44,0,0,214,0,0
Rowan,2014,365,269,96,0,0,0,0,93,61,44,0,0,239,126,0
Swain,2014,359,287,72,0,0,0,0,84,58,38,0,0,182,177,0
Union,2014,214,166,46,2,0,0,0,115,71,44,0,0,214,0,0
Wake,2014,365,217,148,0,0,0,0,100,64,47,0,3,142,220,0
Watauga,2014,116,107,9,0,0,0,0,58,49,28,0,0,0,116,0
Wayne,2014,347,187,160,0,0,0,0,77,63,48,0,0,0,347,0
Yancey,2014,199,157,41,1,0,0,0,101,61,44,0,0,199,0,0
Alamance,2015,153,139,14,0,0,0,0,63,50,32,0,0,0,153,0
Alexander,2015,209,173,36,0,0,0,0,90,61,43,0,0,209,0,0
Avery,2015,353,316,37,0,0,0,0,90,51,40,0,0,335,18,0
Buncombe,2015,363,314,49,0,0,0,0,87,55,36,0,0,165,198,0
Caldwell,2015,207,173,34,0,0,0,0,97,61,42,0,0,207,0,0
Carteret,2015,318,300,18,0,0,0,0,71,46,37,0,0,318,0,0
Caswell,2015,358,279,79,0,0,0,0,87,55,40,0,0,153,205,0
Catawba,2015,347,254,93,0,0,0,0,82,59,39,0,0,0,347,0
Chatham,2015,212,197,15,0,0,0,0,64,49,38,0,0,212,0,0
Cumberland,2015,305,250,55,0,0,0,0,93,57,41,0,0,181,124,0
Davidson,2015,352,213,139,0,0,0,0,83,61,45,0,0,0,352,0
Duplin,2015,326,301,25,0,0,0,0,66,46,26,0,0,0,326,0
Durham,2015,359,258,101,0,0,0,0,87,61,41,0,0,146,212,1
Edgecombe,2015,347,304,43,0,0,0,0,77,52,36,0,0,165,182,0
Forsyth,2015,365,264,98,3,0,0,0,126,71,43,0,14,178,173,0
Franklin,2015,211,171,40,0,0,0,0,93,58,43,0,0,211,0,0
Gaston,2015,36,33,3,0,0,0,0,61,47,29,0,0,0,36,0
Graham,2015,201,162,39,0,0,0,0,97,61,43,0,0,201,0,0
Granville,2015,215,168,47,0,0,0,0,87,64,44,0,0,215,0,0
Guilford,2015,364,287,76,1,0,0,0,112,58,41,0,0,170,194,0
Haywood,2015,266,200,65,1,0,0,0,101,67,44,0,0,205,61,0
Hyde,2015,111,108,3,0,0,0,0,61,41,21,0,0,0,111,0
Jackson,2015,257,199,58,0,0,0,0,100,61,43,0,0,207,50,0
Johnston,2015,262,224,38,0,0,0,0,93,54,39,0,0,204,58,0
Lee,2015,364,248,116,0,0,0,0,93,60,44,0,0,176,188,0
Lenoir,2015,209,185,24,0,0,0,0,80,51,41,0,0,209,0,0
Lincoln,2015,208,158,49,1,0,0,0,112,67,44,0,0,208,0,0
Macon,2015,352,335,17,0,0,0,0,80,45,32,0,0,352,0,0
Martin,2015,351,310,41,0,0,0,0,71,53,39,0,0,174,177,0
McDowell,2015,337,293,44,0,0,0,0,88,52,31,0,0,0,337,0
Mecklenburg,2015,365,245,111,9,0,0,0,129,71,44,0,10,211,144,0
Mitchell,2015,120,111,9,0,0,0,0,59,49,29,0,0,0,120,0
Montgomery,2015,362,306,56,0,0,0,0,80,54,40,0,0,245,117,0
New Hanover,2015,354,326,28,0,0,0,0,71,48,33,0,0,172,182,0
Person,2015,215,170,45,0,0,0,0,77,58,42,0,0,215,0,0
Pitt,2015,258,225,33,0,0,0,0,80,54,39,0,0,195,63,0
Rockingham,2015,214,164,49,1,0,0,0,112,64,44,0,0,214,0,0
Rowan,2015,358,223,134,1,0,0,0,122,64,45,0,0,198,160,0
Swain,2015,360,298,62,0,0,0,0,87,55,36,0,0,161,199,0
Union,2015,209,153,55,1,0,0,0,101,71,44,0,0,209,0,0
Wake,2015,365,233,129,3,0,0,0,105,64,45,0,2,177,186,0
Watauga,2015,226,208,18,0,0,0,0,83,46,23,0,0,0,226,0
Wayne,2015,197,126,71,0,0,0,0,86,65,43,0,0,0,197,0
Yancey,2015,192,136,56,0,0,0,0,97,67,45,0,0,192,0,0
Alexander,2016,278,246,32,0,0,0,0,100,51,39,0,0,212,0,66
Avery,2016,358,316,38,4,0,0,0,149,51,41,0,0,346,12,0
Buncombe,2016,366,300,58,4,4,0,0,167,58,38,0,0,167,199,0
Caldwell,2016,214,180,34,0,0,0,0,90,54,43,0,0,214,0,0
Carteret,2016,327,308,19,0,0,0,0,93,47,36,0,0,327,0,0
Caswell,2016,329,303,26,0,0,0,0,97,49,32,0,0,207,4,118
Catawba,2016,358,276,79,1,2,0,0,153,55,36,0,0,0,358,0
Cumberland,2016,358,278,80,0,0,0,0,93,57,41,0,0,172,184,2
Davidson,2016,362,279,83,0,0,0,0,93,56,35,0,0,0,362,0
Durham,2016,366,272,93,1,0,0,0,119,58,41,0,0,158,208,0
Edgecombe,2016,356,305,51,0,0,0,0,97,54,34,0,0,180,176,0
Forsyth,2016,366,269,94,3,0,0,0,119,64,42,0,19,192,155,0
Graham,2016,213,162,50,1,0,0,0,112,64,45,0,0,213,0,0
Granville,2016,213,179,34,0,0,0,0,97,61,41,0,0,213,0,0
Guilford,2016,366,272,90,4,0,0,0,133,64,42,0,0,175,184,7
Haywood,2016,265,207,54,4,0,0,0,142,64,44,0,0,213,52,0
Hyde,2016,108,105,3,0,0,0,0,53,39,20,0,0,0,108,0
Jackson,2016,271,179,83,7,2,0,0,154,71,45,0,0,210,61,0
Johnston,2016,304,238,65,1,0,0,0,107,56,40,0,0,174,130,0
