Date,Source,Site ID,POC,OZONE,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
3/28/2023,AQS,371190041,1,0.051,ppm,47,Garinger High School,17,100,44201,Ozone,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
3/29/2023,AQS,371190041,1,0.052,ppm,48,Garinger High School,15,88,44201,Ozone,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
3/30/2023,AQS,371190041,1,0.059,ppm,64,Garinger High School,17,100,44201,Ozone,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
3/31/2023,AQS,371190041,1,0.045,ppm,42,Garinger High School,17,100,44201,Ozone,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
4/1/2023,AQS,371190041,1,0.047,ppm,44,Garinger High School,17,100,44201,Ozone,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
4/2/2023,AQS,371190041,1,0.053,ppm,49,Garinger High School,17,100,44201,Ozone,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
4/3/2023,AQS,371190041,1,0.042,ppm,39,Garinger High School,17,100,44201,Ozone,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
4/4/2023,AQS,371190041,1,0.043,ppm,40,Garinger High School,17,100,44201,Ozone,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
4/5/2023,AQS,371190041,1,0.034,ppm,31,Garinger High School,17,100,44201,Ozone,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
4/6/2023,AQS,371190041,1,0.034,ppm,31,Garinger High School,17,100,44201,Ozone,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
4/7/2023,AQS,371190041,1,0.039,ppm,36,Garinger High School,17,100,44201,Ozone,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
